"field","label","description","temporal","category","subcategory","identifier"
"6741-3","ERYTHROCYTES [#/VOLUME] IN BODY FLUID BY MANUAL COUNT","Fluid, RBC Count","1","Laboratory","Other Labs","0"
"791-4","RBC CSF","Erythrocytes [#/volume] in Cerebral spinal fluid by Automated count","1","Laboratory","Erythrocytes|NCnc|Pt|CSF","0"
"792-2","Erythrocytes [#/volume] in Cerebral spinal fluid by Manual count","CSF, RBC Count","1","Laboratory","Other Labs","0"
"797-1","ERYTHROCYTES [#/VOLUME] IN SYNOVIAL FLUID BY MANUAL COUNT","Erythrocytes [#/volume] in Synovial fluid by Manual count","1","Laboratory","Erythrocytes|NCnc|Pt|Synv fld","0"
"798-9","BLOOD, UA","Erythrocytes [#/volume] in Urine by Automated count","1","Laboratory","Erythrocytes|NCnc|Urine","0"
"33051-4","Erythrocytes [Presence] in Urine","Erythrocytes [Presence] in Urine","1","Laboratory","Erythrocytes|PrThr|Urine","0"
"53292-9","Erythrocytes [Presence] in Urine by Automated","Erythrocytes [Presence] in Urine by Automated","1","Laboratory","Erythrocytes|PrThr|Urine","0"
"2243-4","Estradiol (E2) [Mass/volume] in Serum or Plasma","Estradiol-17b (E2), Raw Data","1","Laboratory","Other Labs","0"
"35384-7","ESTRADIOL (E2) [MASS/VOLUME] IN SERUM OR PLASMA BY HIGH SENSITIVITY METHOD","Estradiol (E2) [Mass/volume] in Serum or Plasma by High sensitivity method","1","Laboratory","Estradiol|MCnc|Pt|ANYBldSerPlas","0"
"53765-4","ESTROGEN [MASS/VOLUME] IN SERUM OR PLASMA BY CALCULATION","Estrogen [Mass/volume] in Serum or Plasma by calculation","1","Laboratory","Estrogen|MCnc|Pt|ANYBldSerPlas","0"
"5643-2","Ethanol [Mass/volume] in Serum or Plasma","Ethanol Level","1","Laboratory","Other Labs","0"
"28605-4","Ethanolamine","Ethanolamine/Creatinine [Ratio] in Urine","1","Laboratory","Ethanolamine/Creatinine|Ratio|Urine","0"
"3610-3","ETHCHLORVYNOL (PLACIDYL)","Ethchlorvynol [Mass/volume] in Serum or Plasma","1","Laboratory","Ethchlorvynol|MCnc|Pt|ANYBldSerPlas","0"
"15066-4","FATTY ACIDS.NONESTERIFIED [MOLES/VOLUME] IN SERUM OR PLASMA","Fatty acids.nonesterified [Moles/volume] in Serum or Plasma","1","Laboratory","Fatty acids.nonesterified|SCnc|Pt|ANYBldSerPlas","0"
"49263-7","FATTY ACIDS.VERY LONG CHAIN PATTERN [INTERPRETATION] IN SERUM OR PLASMA NARRATIVE","Fatty acids.very long chain pattern [Interpretation] in Serum or Plasma Narrative","1","Laboratory","Fatty acids.very long chain pattern|Imp|Pt|ANYBldSerPlas","0"
"30194-5","FATTY ACIDS.VERY LONG CHAIN C22:0 (DOCOSANOATE) [MOLES/VOLUME] IN SERUM OR PLASMA","Fatty acids.very long chain C22:0 (Docosanoate) [Moles/volume] in Serum or Plasma","1","Laboratory","Fatty acids.very long chain.C22:0|SCnc|Pt|ANYBldSerPlas","0"
"30195-2","FATTY ACIDS.VERY LONG CHAIN C24:0 (TETRACOSANOATE) [MOLES/VOLUME] IN SERUM OR PLASMA","Fatty acids.very long chain C24:0 (Tetracosanoate) [Moles/volume] in Serum or Plasma","1","Laboratory","Fatty acids.very long chain.C24:0|SCnc|Pt|ANYBldSerPlas","0"
"30197-8","FATTY ACIDS.VERY LONG CHAIN C26:0 (HEXACOSANOATE) [MOLES/VOLUME] IN SERUM OR PLASMA","Fatty acids.very long chain C26:0 (Hexacosanoate) [Moles/volume] in Serum or Plasma","1","Laboratory","Fatty acids.very long chain.C26:0|SCnc|Pt|ANYBldSerPlas","0"
"3637-6","FENTANYL [MASS/VOLUME] IN URINE","Fentanyl [Mass/volume] in Urine","1","Laboratory","Fentanyl|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"61042-8","FENTANYL [PRESENCE] IN UNSPECIFIED SPECIMEN","Fentanyl [Presence] in Unspecified specimen","1","Laboratory","Fentanyl|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"11235-9","Fentanyl Conf","Fentanyl [Presence] in Urine","1","Laboratory","Fentanyl|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"2276-4","Ferritin [Mass/volume] in Serum or Plasma","Ferritin, Raw Data","1","Laboratory","Other Labs","0"
"20567-4","Ferritin [Mass/volume] in Serum or Plasma by Immunoassay","Ferritin [Mass/volume] in Serum or Plasma by Immunoassay","1","Laboratory","Ferritin|MCnc|Pt|ANYBldSerPlas","0"
"49963-2","Fibrillarin Ab [Presence] in Serum","Fibrillarin Ab [Presence] in Serum","1","Laboratory","Fibrillarin Ab|PrThr|Pt|ANYBldSerPlas","0"
"23864-2","FLUNITRAZEPAM [MASS/VOLUME] IN SERUM OR PLASMA","Flunitrazepam [Mass/volume] in Serum or Plasma","1","Laboratory","Flunitrazepam|MCnc|Pt|ANYBldSerPlas","0"
"10339-0","FLUOX+NORFLUOXETINE","Fluoxetine+Norfluoxetine [Mass/volume] in Serum or Plasma","1","Laboratory","Fluoxetine+Norfluoxetine|MCnc|Pt|ANYBldSerPlas","0"
"2284-8","Folate [Mass/volume] in Serum or Plasma","Folate Level, Raw Data","1","Laboratory","Other Labs","0"
"15067-2","Follitropin [Units/volume] in Serum or Plasma","Follicle Stimulating Hormone (FSH), Raw Data","1","Laboratory","Other Labs","0"
"49060-7","FONDAPARINUX [MASS/VOLUME] IN SERUM OR PLASMA","Fondaparinux [Mass/volume] in Serum or Plasma","1","Laboratory","Fondaparinux|MCnc|Pt|ANYBldSerPlas","0"
"2292-1","FORMIC ACID","Formate [Mass/volume] in Serum or Plasma","1","Laboratory","Formate|MCnc|Pt|ANYBldSerPlas","0"
"28593-2","GAMMA AMINOBUTYRATE/CREATININE [RATIO] IN URINE","Gamma aminobutyrate/Creatinine [Ratio] in Urine","1","Laboratory","Gamma aminobutyrate/Creatinine|Ratio|Urine","0"
"27911-7","Ur gamma Aminobutyric Acid","Gamma aminobutyrate [Moles/volume] in Urine","1","Laboratory","Gamma aminobutyrate|SCnc|Urine","0"
"9745-1","GAMMA GLOBULIN [MASS/VOLUME] IN URINE BY ELECTROPHORESIS","Gamma globulin [Mass/volume] in Urine by Electrophoresis","1","Laboratory","Gamma globulin|MCnc|Urine","0"
"28044-6","GAMMA HYDROXYBUTYRATE [MASS/VOLUME] IN URINE","Gamma hydroxybutyrate [Mass/volume] in Urine","1","Laboratory","Gamma hydroxybutyrate|MCnc|Urine","0"
"43601-4","IgG DISIALO GD1b","Ganglioside GD1b IgG Ab [Presence] in Serum","1","Laboratory","Ganglioside GD1b Ab.IgG|PrThr|Pt|ANYBldSerPlas","0"
"43600-6","IgM DISIALO GD1b","Ganglioside GD1b IgM Ab [Presence] in Serum","1","Laboratory","Ganglioside GD1b Ab.IgM|PrThr|Pt|ANYBldSerPlas","0"
"51729-2","GANGLIOSIDE GM1 IGG AB [UNITS/VOLUME] IN SERUM BY IMMUNOASSAY","Ganglioside GM1 IgG Ab [Units/volume] in Serum by Immunoassay","1","Laboratory","Ganglioside GM1 Ab.IgG|ACnc|Pt|ANYBldSerPlas","0"
"45169-0","IgG MONOSIALO GM1","Ganglioside GM1 IgG Ab [Presence] in Serum","1","Laboratory","Ganglioside GM1 Ab.IgG|PrThr|Pt|ANYBldSerPlas","0"
"51703-7","GANGLIOSIDE GM1 IGM AB [UNITS/VOLUME] IN SERUM BY IMMUNOASSAY","Ganglioside GM1 IgM Ab [Units/volume] in Serum by Immunoassay","1","Laboratory","Ganglioside GM1 Ab.IgM|ACnc|Pt|ANYBldSerPlas","0"
"44750-8","IgM MONOSIALO GM1","Ganglioside GM1 IgM Ab [Presence] in Serum","1","Laboratory","Ganglioside GM1 Ab.IgM|PrThr|Pt|ANYBldSerPlas","0"
"31674-5","GQ1b Ab,IgG-IgM","Ganglioside GQ1b Ab [Units/volume] in Serum","1","Laboratory","Ganglioside GQ1b Ab|ACnc|Pt|ANYBldSerPlas","0"
"2333-3","Gastrin [Mass/volume] in Serum or Plasma","Gastrin [Mass/volume] in Serum or Plasma","1","Laboratory","Gastrin|MCnc|Pt|ANYBldSerPlas","0"
"20495-8","GLIADIN IGA AB [UNITS/VOLUME] IN SERUM BY IMMUNOASSAY","IgA anti-DGP","1","Laboratory","Other Labs","0"
"20496-6","GLIADIN IGG AB [UNITS/VOLUME] IN SERUM BY IMMUNOASSAY","IgG anti-DGP","1","Laboratory","Other Labs","0"
"2336-6","Globulin [Mass/volume] in Serum","Globulin [Mass/volume] in Serum","1","Laboratory","Globulin|MCnc|Pt|ANYBldSerPlas","0"
"10834-0","Globulin","Globulin [Mass/volume] in Serum by calculation","1","Laboratory","Globulin|MCnc|Pt|ANYBldSerPlas","0"
"6777-7","Gluc Tol 50G","Deprecated Glucose [Mass/volume] in Serum or Plasma","1","Laboratory","Glucose|MCnc|Pt|ANYBldSerPlas","0"
"2339-0","Glucose [Mass/volume] in Blood","Whole Blood Glucose, Blood Gas","1","Laboratory","Other Labs","0"
"2340-8","GLUCOSE [MASS/VOLUME] IN BLOOD BY AUTOMATED TEST STRIP","Glucose [Mass/volume] in Blood by Automated test strip","1","Laboratory","Glucose|Pt|Bld|Test strip.automated|MassMolEquiv|180.156 g/mole","0"
"32016-8","Glucose [Mass/volume] in Capillary blood","Glucose [Mass/volume] in Capillary blood","1","Laboratory","Glucose|MCnc|Pt|ANYBldSerPlas","0"
"41653-7","Glucose [Mass/volume] in Capillary blood by Glucometer","Glucose [Mass/volume] in Capillary blood by Glucometer","1","Laboratory","Glucose|Pt|BldC|Glucometer|MassMolEquiv|180.156 g/mole","0"
"21305-8","GLUCOSE [MASS/VOLUME] IN 24 HOUR URINE","Urine, Glucose","1","Laboratory","Other Labs","0"
"2350-7","Glucose [Mass/volume] in Urine","Urine, Glucose","1","Laboratory","Other Labs","0"
"53328-1","Glucose Ur","Glucose [Mass/volume] in Urine by Automated test strip","1","Laboratory","Glucose|Pt|Urine|Test strip.automated|MassMolEquiv|180.156 g/mole","0"
"5792-7","Glucose [Mass/volume] in Urine by Test strip","Glucose [Mass/volume] in Urine by Test strip","1","Laboratory","Glucose|Pt|Urine|Test strip|MassMolEquiv|180.156 g/mole","0"
"2351-5","GLUCOSE,URINE,24 HR","Timed Urine, Glucose","1","Laboratory","Other Labs","0"
"2349-9","Glucose [Presence] in Urine","Glucose [Presence] in Urine","1","Laboratory","Glucose|PrThr|Urine","0"
"50555-2","Glucose [Presence] in Urine by Automated test strip","Glucose [Presence] in Urine by Automated test strip","1","Laboratory","Glucose|PrThr|Urine","0"
"25428-4","Glucose [Presence] in Urine by Test strip","Urine, Glucose","1","Laboratory","Other Labs","0"
"56540-8","GLUTAMATE DECARBOXYLASE 65 AB [UNITS/VOLUME] IN SERUM BY IMMUNOASSAY","Glutamate decarboxylase 65 Ab [Units/volume] in Serum by Immunoassay","1","Laboratory","Glutamate decarboxylase 65 Ab|ACnc|Pt|ANYBldSerPlas","0"
"30059-0","GLUTAMATE/CREATININE [RATIO] IN URINE","Glutamate/Creatinine [Ratio] in Urine","1","Laboratory","Glutamate/Creatinine|Ratio|Urine","0"
"20642-5","GLUTAMATE [MOLES/VOLUME] IN SERUM OR PLASMA","Glutamate [Moles/volume] in Serum or Plasma","1","Laboratory","Glutamate|SCnc|Pt|ANYBldSerPlas","0"
"25917-6","GLUTAMIC ACID","Glutamate [Moles/volume] in 24 hour Urine","1","Laboratory","Glutamate|SCnc|Urine","0"
"30348-7","Ur GlutamicAcid","Glutamate [Moles/volume] in Urine","1","Laboratory","Glutamate|SCnc|Urine","0"
"30056-6","GLUTAMINE/CREATININE [RATIO] IN URINE","Glutamine/Creatinine [Ratio] in Urine","1","Laboratory","Glutamine/Creatinine|Ratio|Urine","0"
"25919-2","GLUTAMINE","Glutamine [Moles/volume] in 24 hour Urine","1","Laboratory","Glutamine|SCnc|Urine","0"
"27043-9","Ur Glutamine","Glutamine [Moles/volume] in Urine","1","Laboratory","Glutamine|SCnc|Urine","0"
"30066-5","GLYCINE/CREATININE [RATIO] IN URINE","Glycine/Creatinine [Ratio] in Urine","1","Laboratory","Glycine/Creatinine|Ratio|Urine","0"
"25921-8","GLYCINE","Glycine [Moles/volume] in 24 hour Urine","1","Laboratory","Glycine|SCnc|Urine","0"
"27325-0","Ur Glycine","Glycine [Moles/volume] in Urine","1","Laboratory","Glycine|SCnc|Urine","0"
"51584-1","Immature granulocytes [#/volume] in Blood","Immature granulocytes [#/volume] in Blood","1","Laboratory","Granulocytes.immature|NCnc|Pt|Bld","0"
"53115-2","Immature granulocytes [#/volume] in Blood by Automated count","Immature Granulocyte Count","1","Laboratory","Other Labs","0"
"725-2","Hemoglobin [Presence] in Urine","Hemoglobin [Presence] in Urine","1","Laboratory","Hemoglobin|PrThr|Urine","0"
"5794-3","Hemoglobin [Presence] in Urine by Test strip","Urine, Blood","1","Laboratory","Other Labs","0"
"4644-1","HEMOSIDERIN,U","Hemosiderin [Presence] in Urine","1","Laboratory","Hemosiderin|PrThr|Urine","0"
"38175-6","HEPTACARBOXYLATE/CREATININE [MOLAR RATIO] IN URINE","Heptacarboxylate/Creatinine [Molar ratio] in Urine","1","Laboratory","Heptacarboxylate/Creatinine|SRto|Urine","0"
"34314-5","HEPTACARBOXYPORPHYRN","Heptacarboxylporphyrin [Moles/volume] in Urine","1","Laboratory","Heptacarboxylporphyrin|SCnc|Urine","0"
"9451-6","HEXACARBOXYL PORPH,P","Hexacarboxylporphyrin [Mass/volume] in Serum or Plasma","1","Laboratory","Hexacarboxylporphyrin|MCnc|Pt|ANYBldSerPlas","0"
"13756-2","HISTAMINE, 24HR U","Histamine/Creatinine [Mass Ratio] in 24 hour Urine","1","Laboratory","Histamine/Creatinine|MRto|Urine","0"
"25925-9","HISTAMINE/CREATININE [MOLAR RATIO] IN 24 HOUR URINE","Histamine/Creatinine [Molar ratio] in 24 hour Urine","1","Laboratory","Histamine/Creatinine|SRto|Urine","0"
"33290-8","HISTAMINE [MOLES/VOLUME] IN URINE","Histamine [Moles/volume] in Urine","1","Laboratory","Histamine|SCnc|Urine","0"
"30047-5","HISTIDINE/CREATININE [RATIO] IN URINE","Histidine/Creatinine [Ratio] in Urine","1","Laboratory","Histidine/Creatinine|Ratio|Urine","0"
"25926-7","HISTIDINE","Histidine [Moles/volume] in 24 hour Urine","1","Laboratory","Histidine|SCnc|Urine","0"
"27904-2","Ur Histidine","Histidine [Moles/volume] in Urine","1","Laboratory","Histidine|SCnc|Urine","0"
"29996-6","HISTONE IGG AB [UNITS/VOLUME] IN SERUM BY IMMUNOASSAY","Histone Antibody Quantitative","1","Laboratory","Other Labs","0"
"13971-7","Histoplasma Ag Ur EIA","Histoplasma capsulatum Ag [Units/volume] in Urine by Immunoassay","1","Laboratory","Histoplasma capsulatum Ag|ACnc|Urine","0"
"13759-6","HOMOCYSTINE/CREATININE [MASS RATIO] IN URINE","Homocystine/Creatinine [Mass Ratio] in Urine","1","Laboratory","Homocystine/Creatinine|MRto|Urine","0"
"30051-7","HOMOCYSTINE/CREATININE [RATIO] IN URINE","Homocystine/Creatinine [Ratio] in Urine","1","Laboratory","Homocystine/Creatinine|Ratio|Urine","0"
"26999-3","Ur Homocystine","Homocystine [Moles/volume] in Urine","1","Laboratory","Homocystine|SCnc|Urine","0"
"49269-4","HOMOVANILLATE AND CREATININE [INTERPRETATION] IN URINE NARRATIVE","Homovanillate and Creatinine [Interpretation] in Urine Narrative","1","Laboratory","Homovanillate & Creatinine|Imp|Urine","0"
"13760-4","HOMOVANILLATE/CREATININE [MASS RATIO] IN 24 HOUR URINE","Homovanillate/Creatinine [Mass Ratio] in 24 hour Urine","1","Laboratory","Homovanillate/Creatinine|MRto|Urine","0"
"53595-5","HOMOVANILLATE [MASS/VOLUME] IN 24 HOUR URINE","Homovanillate [Mass/volume] in 24 hour Urine","1","Laboratory","Homovanillate|MCnc|Urine","0"
"2436-4","HOMOVANILLATE [MASS/TIME] IN 24 HOUR URINE","Homovanillate [Mass/time] in 24 hour Urine","1","Laboratory","Homovanillate|MRat|Urine","0"
"82165-2","Human metapneumovirus RPP (Result)","Human metapneumovirus RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection","1","Laboratory","Human metapneumovirus RNA|PrThr|<Sys:ANYResp>","0"
"12786-0","HYDROCODONE,FREE","Hydrocodone Free [Mass/volume] in Serum or Plasma","1","Laboratory","Hydrocodone.free|MCnc|Pt|ANYBldSerPlas","0"
"26863-1","Hydrocodone","Hydrocodone [Mass/mass] in Meconium","1","Laboratory","Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"3680-6","HYDROCODONE,TOTAL","Hydrocodone [Mass/volume] in Serum or Plasma","1","Laboratory","Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"3681-4","HYDROCODONE BY GC/MS","Hydrocodone [Mass/volume] in Urine","1","Laboratory","Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"16252-9","Hydrocodone Conf Ur","Hydrocodone [Mass/volume] in Urine by Confirmatory method","1","Laboratory","Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"32080-4","HYDROCODONE [PRESENCE] IN UNSPECIFIED SPECIMEN","Hydrocodone [Presence] in Unspecified specimen","1","Laboratory","Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"19483-7","HYDROCODONE [PRESENCE] IN URINE BY CONFIRMATORY METHOD","Hydrocodone [Presence] in Urine by Confirmatory method","1","Laboratory","Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"12787-8","HYDROMORPHONE,FREE","Hydromorphone Free [Mass/volume] in Serum or Plasma","1","Laboratory","Hydromorphone.free|MCnc|Pt|ANYBldSerPlas","0"
"26862-3","Hydromorphone","Hydromorphone [Mass/mass] in Meconium","1","Laboratory","Hydromorphone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"3683-0","HYDROMORPHONE,TOTAL","Hydromorphone [Mass/volume] in Serum or Plasma","1","Laboratory","Hydromorphone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"9835-0","HYDROMORPHONE QUANT.","Hydromorphone [Mass/volume] in Urine","1","Laboratory","Hydromorphone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"16998-7","Hydromorphone Conf Ur","Hydromorphone [Mass/volume] in Urine by Confirmatory method","1","Laboratory","Hydromorphone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"32081-2","HYDROMORPHONE [PRESENCE] IN UNSPECIFIED SPECIMEN","Hydromorphone [Presence] in Unspecified specimen","1","Laboratory","Hydromorphone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"18473-9","HYDROMORPHONE [PRESENCE] IN URINE BY CONFIRMATORY METHOD","Hydromorphone [Presence] in Urine by Confirmatory method","1","Laboratory","Hydromorphone|ANYProp|ANYTm|ANYSys|ANYMeth","0"
"30050-9","Hydroxylysine, U","Hydroxylysine/Creatinine [Ratio] in Urine","1","Laboratory","Hydroxylysine/Creatinine|Ratio|Urine","0"
"28601-3","HYDROXYPROLINE/CREATININE [RATIO] IN URINE","Hydroxyproline/Creatinine [Ratio] in Urine","1","Laboratory","Hydroxyproline/Creatinine|Ratio|Urine","0"
"26740-1","Ur Hydroxypro","Hydroxyproline [Moles/volume] in Urine","1","Laboratory","Hydroxyproline|SCnc|Urine","0"
"2458-8","IgA [Mass/volume] in Serum or Plasma","Immunoglobulin A (IgA), Quantitative","1","Laboratory","Other Labs","0"
"19113-0","IgE [Units/volume] in Serum or Plasma","Immunoglobulin E (IgE), Quantitative, Raw Data","1","Laboratory","Other Labs","0"
"2462-0","IGE [MASS/VOLUME] IN SERUM","IgE [Mass/volume] in Serum","1","Laboratory","IgE|MCnc|Pt|ANYBldSerPlas","0"
"2465-3","IgG [Mass/volume] in Serum or Plasma","Immunoglobulin G (IgG), Quantitative","1","Laboratory","Other Labs","0"
"2472-9","IgM [Mass/volume] in Serum or Plasma","Immunoglobulin M (IgM), Quantitative","1","Laboratory","Other Labs","0"
"27831-7","IMMUNE COMPLEX [UNITS/VOLUME] IN SERUM OR PLASMA BY C1Q BINDING ASSAY","C1q Binding Quantitative","1","Laboratory","Other Labs","0"
"41759-2","U K/L Ratio","Immunoglobulin light chains.kappa.free/Immunoglobulin light chains.lambda.free [Mass Ratio] in Urine","1","Laboratory","Immunoglobulin light chains.kappa.free/Immunoglobulin light chains.lambda.free|MRto|Urine","0"
"36916-5","IMMUNOGLOBULIN LIGHT CHAINS.KAPPA.FREE [MASS/VOLUME] IN SERUM","Free Kappa","1","Laboratory","Other Labs","0"
"38176-4","IMMUNOGLOBULIN LIGHT CHAINS.KAPPA.FREE [MASS/VOLUME] IN URINE","Immunoglobulin light chains.kappa.free [Mass/volume] in Urine","1","Laboratory","Immunoglobulin light chains.kappa.free|MCnc|Urine","0"
"27365-6","KAPPA LIGHT CHAINS","Immunoglobulin light chains.kappa [Mass/volume] in Urine","1","Laboratory","Immunoglobulin light chains.kappa|MCnc|Urine","0"
"33944-0","IMMUNOGLOBULIN LIGHT CHAINS.LAMBDA.FREE [MASS/VOLUME] IN SERUM OR PLASMA","Free Lambda","1","Laboratory","Other Labs","0"
"38178-0","IMMUNOGLOBULIN LIGHT CHAINS.LAMBDA.FREE [MASS/VOLUME] IN URINE","Immunoglobulin light chains.lambda.free [Mass/volume] in Urine","1","Laboratory","Immunoglobulin light chains.lambda.free|MCnc|Urine","0"
"27394-6","LAMBDA LIGHT CHAINS","Immunoglobulin light chains.lambda [Mass/volume] in Urine","1","Laboratory","Immunoglobulin light chains.lambda|MCnc|Urine","0"
"46082-4","Influenza virus A Ag [Presence] in Nasopharynx by Immunoassay","Influenza virus A Ag [Presence] in Nasopharynx by Immunoassay","1","Laboratory","Influenza virus A Ag|PrThr|<Sys:ANYResp>","0"
"82168-6","Influenza A H1-2009 RPP (Result)","Influenza virus A H1 2009 pandemic RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection","1","Laboratory","Influenza virus A H1 2009 pandemic RNA|PrThr|<Sys:ANYResp>","0"
"82167-8","Influenza A H1 RPP (Result)","Influenza virus A H1 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection","1","Laboratory","Influenza virus A H1 RNA|PrThr|<Sys:ANYResp>","0"
"82169-4","Influenza A H3 RPP (Result)","Influenza virus A H3 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection","1","Laboratory","Influenza virus A H3 RNA|PrThr|<Sys:ANYResp>","0"
"82166-0","Influenza A RPP (Result)","Influenza virus A RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection","1","Laboratory","Influenza virus A RNA|PrThr|<Sys:ANYResp>","0"
"46083-2","Influenza virus B Ag [Presence] in Nasopharynx by Immunoassay","Influenza virus B Ag [Presence] in Nasopharynx by Immunoassay","1","Laboratory","Influenza virus B Ag|PrThr|<Sys:ANYResp>","0"
"82170-2","Influenza B RPP (Result)","Influenza virus B RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection","1","Laboratory","Influenza virus B RNA|PrThr|<Sys:ANYResp>","0"
"34319-4","INHIBIN B [MASS/VOLUME] IN SERUM OR PLASMA","Inhibin B [Mass/volume] in Serum or Plasma","1","Laboratory","Inhibin B|MCnc|Pt|ANYBldSerPlas","0"
"56940-0","INHIBIN B","Inhibin B [Mass/volume] in Serum or Plasma by Immunoassay","1","Laboratory","Inhibin B|MCnc|Pt|ANYBldSerPlas","0"
"2484-4","Insulin-like growth factor-I [Mass/volume] in Serum or Plasma","Insulin-like Growth Factor 1 (IGF-1) Mass Spec","1","Laboratory","Other Labs","0"
"25700-6","Immunofixation for Serum or Plasma","Immunofixation for Serum or Plasma","1","Laboratory","Interpretation|Imp|Pt|ANYBldSerPlas","0"
"49275-1","IMMUNOFIXATION FOR SERUM OR PLASMA NARRATIVE","Immunofixation for Serum or Plasma Narrative","1","Laboratory","Interpretation|Imp|Pt|ANYBldSerPlas","0"
"49278-5","Protein ELP 24 Hr Ur Interp","Immunoelectrophoresis for Urine Narrative","1","Laboratory","Interpretation|Imp|Urine","0"
"49276-9","IMMUNOFIXATION FOR URINE NARRATIVE","Immunofixation for Urine Narrative","1","Laboratory","Interpretation|Imp|Urine","0"
"31444-3","INTRINSIC FACTOR BLOCKING AB","Intrinsic factor blocking Ab [Presence] in Serum","1","Laboratory","Intrinsic factor blocking Ab|PrThr|Pt|ANYBldSerPlas","0"
"9537-2","INTRINSIC FACTOR BLOCKING AB [PRESENCE] IN SERUM BY RADIOIMMUNOASSAY (RIA)","Intrinsic factor blocking Ab [Presence] in Serum by Radioimmunoassay (RIA)","1","Laboratory","Intrinsic factor blocking Ab|PrThr|Pt|ANYBldSerPlas","0"
"26842-5","IODINE [MASS/VOLUME] IN 24 HOUR URINE","Iodine [Mass/volume] in 24 hour Urine","1","Laboratory","Iodine|MCnc|Urine","0"
"31209-0","ISLET CELL 512 AB [UNITS/VOLUME] IN SERUM","IA-2 Antibody","1","Laboratory","Other Labs","0"
"30052-5","ISOLEUCINE/CREATININE [RATIO] IN URINE","Isoleucine/Creatinine [Ratio] in Urine","1","Laboratory","Isoleucine/Creatinine|Ratio|Urine","0"
"25938-2","ISOLEUCINE","Isoleucine [Moles/volume] in 24 hour Urine","1","Laboratory","Isoleucine|SCnc|Urine","0"
"26965-4","Ur Isoleucine","Isoleucine [Moles/volume] in Urine","1","Laboratory","Isoleucine|SCnc|Urine","0"
"5669-7","ISOPROPANOL [MASS/VOLUME] IN SERUM OR PLASMA","Isopropanol [Mass/volume] in Serum or Plasma","1","Laboratory","Isopropanol|MCnc|Pt|ANYBldSerPlas","0"
"10989-2","ITRACONAZOLE [MASS/VOLUME] IN SERUM OR PLASMA","Itraconazole [Mass/volume] in Serum or Plasma","1","Laboratory","Itraconazole|MCnc|Pt|ANYBldSerPlas","0"
"49779-2","Ketones Ur-mCnc - Ketones [Mass/volume] in Urine","Ketones [Mass/volume] in Urine","1","Laboratory","Ketones|MCnc|Urine","0"
"50557-8","KETONES, URINE","Ketones [Mass/volume] in Urine by Automated test strip","1","Laboratory","Ketones|MCnc|Urine","0"
"5797-6","KETONES [MASS/VOLUME] IN URINE BY TEST STRIP","Ketones [Mass/volume] in Urine by Test strip","1","Laboratory","Ketones|MCnc|Urine","0"
"33903-6","Ketones [Presence] in Urine","Ketones [Presence] in Urine","1","Laboratory","Ketones|PrThr|Urine","0"
"57734-6","Ketones [Presence] in Urine by Automated test strip","Ketones [Presence] in Urine by Automated test strip","1","Laboratory","Ketones|PrThr|Urine","0"
"2514-8","Ketones [Presence] in Urine by Test strip","Urine, Ketone","1","Laboratory","Other Labs","0"
"18484-6","KU AB [PRESENCE] IN SERUM","Ku Ab [Presence] in Serum","1","Laboratory","Ku Ab|PrThr|Pt|ANYBldSerPlas","0"
"59297-2","LACOSAMIDE [MASS/VOLUME] IN SERUM OR PLASMA","Lacosamide [Mass/volume] in Serum or Plasma","1","Laboratory","Lacosamide|MCnc|Pt|ANYBldSerPlas","0"
"5910-5","LD ISOENZYMES","Lactate dehydrogenase isoenzymes [Interpretation] in Serum or Plasma","1","Laboratory","Lactate dehydrogenase isoenzymes|Imp|Pt|ANYBldSerPlas","0"
"2518-9","Lactate [Moles/volume] in Arterial blood","Arterial, Lactic Acid, POC","1","Laboratory","Other Labs","0"
"32693-4","Lactate [Moles/volume] in Blood","Lactate [Moles/volume] in Blood","1","Laboratory","Lactate|SCnc|Pt|ANYBldSerPlas","0"
"2524-7","Lactate [Moles/volume] in Serum or Plasma","Lactate [Moles/volume] in Serum or Plasma","1","Laboratory","Lactate|SCnc|Pt|ANYBldSerPlas","0"
"5671-3","Lead, Capillary","Lead, Raw Value","1","Laboratory","Other Labs","0"
